Bleu,Vert,Rouge,Valeur
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
211,212,19,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
215,216,23,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
211,212,19,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
211,212,19,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
211,212,19,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
215,216,23,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
215,216,23,Chlore_16
218,219,26,Chlore_16
213,214,21,Chlore_16
215,216,23,Chlore_16
215,216,23,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
211,212,19,Chlore_16
213,214,21,Chlore_16
211,212,19,Chlore_16
213,214,21,Chlore_16
207,207,19,Chlore_16
211,212,19,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
213,214,21,Chlore_16
